,Report of all payments made by GLA & GLA Land & Property for value equal to or greater than £ 250.00 Excl. VAT,,,,,,
,Reporting Period : ,11,,,,,
,Start Date:,"6th January, 2013",,,,,
,End Date:,"2nd February, 2013",,,,,
,Financial Year :,2012 / 13,,,,,
,,,,,,,
,Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date
,10006059,L B OF HARINGEY,544075,Grants to External Organisations,5107778492,"6,181,359.00",24 Jan  2013
,15500051,LONDON BOROUGH OF HACKNEY - BSP,544075,Grants to External Organisations,5107780582,"5,613,749.00",29 Jan  2013
,10006080,LONDON BOROUGH OF HAVERING,544075,Grants to External Organisations,5107769085,"4,378,650.00",14 Jan  2013
,18000044,ONE HOUSING GROUP,544076,HSG Grants to Registered Providers,1900016850,"3,906,000.00",22 Jan  2013
,18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900016853,"3,843,000.00",23 Jan  2013
,18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900016854,"3,697,500.00",23 Jan  2013
,15500077,LONDON BOROUGH OF BARKING,544075,Grants to External Organisations,5107779721,"2,802,261.00",25 Jan  2013
,18000044,ONE HOUSING GROUP,544076,HSG Grants to Registered Providers,1900016851,"2,749,104.00",22 Jan  2013
,18000078,BERKELEY PARTNERSHIP HOMES LIMITED,544078,HSG Grants to Non-Registered Providers,1900016847,"2,062,500.00",21 Jan  2013
,18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900016880,"1,860,000.00",25 Jan  2013
,10006450,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107778278,"1,848,889.00",25 Jan  2013
,10020169,LONDON BOROUGH OF NEWHAM,544075,Grants to External Organisations,5107774929,"1,840,716.00",21 Jan  2013
,10016643,AMAS LTD,510400,Commercial Property Rent,1900016852,"1,673,907.50",25 Jan  2013
,10020169,LONDON BOROUGH OF NEWHAM,544075,Grants to External Organisations,5107774977,"1,551,114.00",25 Jan  2013
,10003560,EVERSHEDS,542420,Claim Settlements,1900016806,"1,439,353.60",11 Jan  2013
,10005992,LONDON BOROUGH OF GREENWICH,544075,Grants to External Organisations,5107758073,"1,350,000.00",09 Jan  2013
,10002550,CITY OF WESTMINSTER,544075,Grants to External Organisations,5107768147,"1,250,839.13",16 Jan  2013
,18000034,PARADIGM HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900016958,"1,127,000.00",29 Jan  2013
,18000040,CATALYST HOUSING GROUP LTD,544076,HSG Grants to Registered Providers,1900016809,"829,922.00",10 Jan  2013
,10003560,EVERSHEDS,542420,Claim Settlements,1900016805,"696,000.94",11 Jan  2013
,18000034,PARADIGM HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900016947,"523,250.00",28 Jan  2013
,18000051,VIRIDIAN HOUSING,544076,HSG Grants to Registered Providers,1900016864,"488,964.00",24 Jan  2013
,18000029,ESTUARY HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900016846,"442,969.00",21 Jan  2013
,18000051,VIRIDIAN HOUSING,544076,HSG Grants to Registered Providers,1900016867,"423,625.00",24 Jan  2013
,18000051,VIRIDIAN HOUSING,544076,HSG Grants to Registered Providers,1900016863,"394,409.00",24 Jan  2013
,10020628,LOOK AHEAD HOUSING AND CARE,542800,Hsg-Rough Sleeping,5107752076,"353,064.00",07 Jan  2013
,10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5107753521,"323,954.10",14 Jan  2013
,18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900016879,"315,000.00",25 Jan  2013
,10021972,ROOFF LIMITED,550010,Contracted Services Buildings,5107774140,"243,598.00",18 Jan  2013
,18000009,PEABODY TRUST,544076,HSG Grants to Registered Providers,1900016966,"200,256.00",01 Feb  2013
,10007096,R B KINGSTON UPON THAMES,544075,Grants to External Organisations,5107760241,"200,000.00",09 Jan  2013
,18000042,FAMILY MOSAIC HOUSING ASSOCIATION,544076,HSG Grants to Registered Providers,1900016855,"159,000.00",23 Jan  2013
,18000034,PARADIGM HOUSING GROUP LIMITED,544076,HSG Grants to Registered Providers,1900016967,"141,818.00",01 Feb  2013
,10021790,LONDON AND QUADRANT HOUSING TRUST,542355,Other Professional Fees,5107756850,"137,899.35",14 Jan  2013
,18000024,METROPOLITAN HOUSING TRUST LIMITED,544076,HSG Grants to Registered Providers,1900016957,"116,243.00",29 Jan  2013
,10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107778720,"114,563.00",24 Jan  2013
,12001472,INNOVISION EVENTS LTD,540050,Marketing Services,5107720982,"108,377.94",15 Jan  2013
,10003560,EVERSHEDS,542420,Claim Settlements,1900016804,"106,200.00",11 Jan  2013
,10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107765260,"96,851.92",09 Jan  2013
,10015508,WASTE & RESOURCES ACTION PROGRAMME,544075,Grants to External Organisations,5107784619,"88,751.45",31 Jan  2013
,10020632,ST MUNGOS,544075,Grants to External Organisations,5107760734,"88,000.00",30 Jan  2013
,10009048,OFFICE FOR NATIONAL STATISTICS,544075,Grants to External Organisations,5107756260,"78,555.77",09 Jan  2013
,10020632,ST MUNGOS,544075,Grants to External Organisations,5107783741,"78,333.50",30 Jan  2013
,10020632,ST MUNGOS,544075,Grants to External Organisations,5107783778,"78,333.50",30 Jan  2013
,10017458,TRANSPORT TRADING LTD,520410,Business Fares,5107753519,"77,423.50",09 Jan  2013
,10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107769388,"76,863.63",23 Jan  2013
,10022613,CITY GATEWAY,544075,Grants to External Organisations,5107756874,"74,093.00",08 Jan  2013
,10003560,EVERSHEDS,542420,Claim Settlements,1900016807,"71,144.00",11 Jan  2013
,10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107778718,"65,060.00",24 Jan  2013
,10022468,LONDON PROBATION TRUST,544075,Grants to External Organisations,5107742662,"61,111.16",16 Jan  2013
,10006450,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107768458,"60,000.00",11 Jan  2013
,18000051,VIRIDIAN HOUSING,544076,HSG Grants to Registered Providers,1900016862,"58,431.00",24 Jan  2013
,10006879,OVE ARUP & PARTNERS LTD,542002,Consultancy-Project Management,5107772319,"57,414.50",23 Jan  2013
,18000009,PEABODY TRUST,544076,HSG Grants to Registered Providers,1900016965,"57,204.00",01 Feb  2013
,10000044,CITY OF LONDON,544075,Grants to External Organisations,5107710127,"57,149.22",15 Jan  2013
,10014663,CAMDEN PCT,544075,Grants to External Organisations,5107765334,"56,112.89",16 Jan  2013
,13002583,OSBORNE ENERGY LTD,550010,Contracted Services Buildings,5107764991,"54,229.00",07 Jan  2013
,13002583,OSBORNE ENERGY LTD,550010,Contracted Services Buildings,5107764990,"53,019.50",07 Jan  2013
,10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107772560,"51,640.49",24 Jan  2013
,10020514,NORTH ONE TELEVISION LTD,542355,Other Professional Fees,5107769461,"48,775.00",16 Jan  2013
